log_id,project_id,employee_id,date_logged,task_category,subtask_description,hours_worked
71,P-2023-001,EMP-07,2023-10-27,Drafting,Foundation Plan Updates,2.54
72,P-2023-001,EMP-08,2023-10-01,Meeting,Internal Team Sync,2.44
73,P-2023-001,EMP-02,2023-11-30,Meeting,Client Design Review,3.2
74,P-2023-001,EMP-02,2023-11-22,Meeting,Subcontractor Coordination,2.42
75,P-2023-001,EMP-09,2023-11-15,Meeting,Internal Team Sync,2.9
76,P-2023-001,EMP-02,2023-11-09,Meeting,Client Design Review,3.29
77,P-2023-001,EMP-01,2023-11-08,Meeting,Subcontractor Coordination,2.88
78,P-2023-001,EMP-05,2023-10-08,Meeting,Internal Team Sync,3.13
79,P-2023-001,EMP-10,2023-10-04,Meeting,Permitting Authority Review,2.31
80,P-2023-001,EMP-03,2023-10-01,Meeting,Permitting Authority Review,3.26
81,P-2023-001,EMP-09,2023-10-20,Meeting,Subcontractor Coordination,1.32
82,P-2023-001,EMP-01,2023-10-30,Meeting,Client Design Review,2.69
83,P-2023-001,EMP-05,2023-11-18,Meeting,Internal Team Sync,3.84
84,P-2023-001,EMP-02,2023-09-28,Meeting,Internal Team Sync,2.09
85,P-2023-001,EMP-02,2023-12-04,Meeting,BIM Clash Detection Session,3.28
86,P-2023-001,EMP-11,2023-10-08,Site Visit,RFI Clarification,3.58
87,P-2023-001,EMP-11,2023-10-28,Site Visit,Quality Check (QA/QC),3.05
88,P-2023-001,EMP-01,2023-09-18,Site Visit,Quality Check (QA/QC),4.08
89,P-2023-001,EMP-10,2023-10-19,Site Visit,Punch List Generation,1.18
90,P-2023-001,EMP-05,2023-11-02,Site Visit,Existing Conditions Survey,2.72
91,P-2023-001,EMP-10,2023-11-21,Site Visit,Punch List Generation,3.03
92,P-2023-001,EMP-04,2023-11-01,Site Visit,Punch List Generation,1.55
93,P-2023-001,EMP-08,2023-10-21,Site Visit,Punch List Generation,2.51
94,P-2023-001,EMP-03,2023-10-14,Site Visit,Progress Inspection,3.62
95,P-2023-001,EMP-08,2023-09-19,Site Visit,RFI Clarification,2.56
96,P-2024-001,EMP-03,2024-01-21,Design,Architectural Layout,3.85
97,P-2024-001,EMP-10,2024-05-02,Design,Structural Concept,2.65
98,P-2024-001,EMP-10,2024-02-14,Design,MEP System Planning,2.42
99,P-2024-001,EMP-06,2024-04-22,Design,Facade/Exterior Detailing,2.86
100,P-2024-001,EMP-04,2024-07-25,Design,MEP System Planning,1.38
101,P-2024-001,EMP-08,2024-04-05,Design,Material Specification Review,2.45
102,P-2024-001,EMP-07,2024-07-04,Design,MEP System Planning,2.81
103,P-2024-001,EMP-05,2024-05-03,Design,MEP System Planning,1.16
104,P-2024-001,EMP-08,2024-06-28,Design,MEP System Planning,1.39
105,P-2024-001,EMP-02,2024-02-15,Design,Structural Concept,4.02
106,P-2024-001,EMP-11,2024-07-27,Design,Facade/Exterior Detailing,1.71
107,P-2024-001,EMP-10,2024-05-26,Design,Facade/Exterior Detailing,3.03
108,P-2024-001,EMP-08,2024-07-23,Design,Architectural Layout,3.21
109,P-2024-001,EMP-11,2024-05-31,Design,MEP System Planning,1.52
110,P-2024-001,EMP-09,2024-05-17,Design,Architectural Layout,1.23
111,P-2024-001,EMP-01,2024-06-12,Design,Facade/Exterior Detailing,2.26
112,P-2024-001,EMP-04,2024-05-01,Design,Material Specification Review,2.01
113,P-2024-001,EMP-04,2024-01-31,Design,Structural Concept,1.67
114,P-2024-001,EMP-08,2024-06-13,Design,Architectural Layout,2.57
115,P-2024-001,EMP-04,2024-04-25,Design,Material Specification Review,3.59
116,P-2024-001,EMP-09,2024-07-08,Design,Structural Concept,1.95
117,P-2024-001,EMP-03,2024-03-02,Design,Architectural Layout,3.02
118,P-2024-001,EMP-04,2024-07-22,Design,MEP System Planning,3.55
119,P-2024-001,EMP-01,2024-06-25,Design,Architectural Layout,2.13
120,P-2024-001,EMP-07,2024-06-03,Design,Facade/Exterior Detailing,2.54
121,P-2024-001,EMP-10,2024-06-02,Design,Material Specification Review,4.31
122,P-2024-001,EMP-09,2024-07-14,Design,Material Specification Review,3.73
123,P-2024-001,EMP-06,2024-04-19,Design,Structural Concept,2.55
124,P-2024-001,EMP-04,2024-08-02,Design,MEP System Planning,1.06
125,P-2024-001,EMP-05,2024-03-20,Design,Facade/Exterior Detailing,4.11
126,P-2024-001,EMP-08,2024-06-09,Design,Architectural Layout,2.61
127,P-2024-001,EMP-05,2024-06-15,Design,Facade/Exterior Detailing,3.29
128,P-2024-001,EMP-03,2024-02-11,Design,Structural Concept,3.97
129,P-2024-001,EMP-01,2024-06-15,Design,Material Specification Review,2.7
130,P-2024-001,EMP-03,2024-07-27,Design,Material Specification Review,1.19
131,P-2024-001,EMP-07,2024-08-07,Design,Facade/Exterior Detailing,1.94
132,P-2024-001,EMP-05,2024-02-29,Design,Structural Concept,3.56
133,P-2024-001,EMP-02,2024-02-27,Design,Structural Concept,2.14
134,P-2024-001,EMP-06,2024-02-08,Design,Architectural Layout,1.16
135,P-2024-001,EMP-06,2024-05-05,Design,Facade/Exterior Detailing,4.05
136,P-2024-001,EMP-06,2024-02-01,Design,MEP System Planning,4.21
137,P-2024-001,EMP-09,2024-08-09,Design,MEP System Planning,1.73
138,P-2024-001,EMP-10,2024-06-03,Design,Structural Concept,2.08
139,P-2024-001,EMP-08,2024-05-06,Design,Facade/Exterior Detailing,3.94
140,P-2024-001,EMP-05,2024-02-29,Design,Material Specification Review,1.91
141,P-2024-001,EMP-07,2024-03-11,Design,Material Specification Review,1.44
142,P-2024-001,EMP-06,2024-07-20,Design,Structural Concept,1.7
143,P-2024-001,EMP-01,2024-04-10,Design,MEP System Planning,2.66
144,P-2024-001,EMP-06,2024-05-20,Design,Structural Concept,4.14
145,P-2024-001,EMP-05,2024-04-28,Design,Material Specification Review,2.2
146,P-2024-001,EMP-11,2024-07-02,Design,Facade/Exterior Detailing,1.98
147,P-2024-001,EMP-10,2024-06-17,Design,Material Specification Review,3.24
148,P-2024-001,EMP-02,2024-05-09,Design,Facade/Exterior Detailing,2.99
149,P-2024-001,EMP-04,2024-01-23,Design,Structural Concept,2.61
150,P-2024-001,EMP-04,2024-07-02,Design,Material Specification Review,3.69
151,P-2024-001,EMP-08,2024-01-16,Design,Structural Concept,3.31
152,P-2024-001,EMP-11,2024-02-19,Design,Facade/Exterior Detailing,3.58
153,P-2024-001,EMP-05,2024-07-14,Design,Architectural Layout,2.53
154,P-2024-001,EMP-11,2024-06-26,Design,Material Specification Review,1.92
155,P-2024-001,EMP-02,2024-01-21,Design,Material Specification Review,3.34
156,P-2024-001,EMP-04,2024-03-29,Design,MEP System Planning,3.24
157,P-2024-001,EMP-08,2024-01-26,Design,Architectural Layout,2.54
158,P-2024-001,EMP-05,2024-02-27,Design,Material Specification Review,2.3
159,P-2024-001,EMP-02,2024-02-07,Design,Structural Concept,3.38
160,P-2024-001,EMP-09,2024-05-18,Design,Facade/Exterior Detailing,3.01
161,P-2024-001,EMP-01,2024-05-20,Design,Material Specification Review,3.81
162,P-2024-001,EMP-04,2024-07-06,Design,Facade/Exterior Detailing,1.76
163,P-2024-001,EMP-05,2024-04-11,Design,MEP System Planning,2.56
164,P-2024-001,EMP-04,2024-07-12,Design,Facade/Exterior Detailing,1.55
165,P-2024-001,EMP-04,2024-02-08,Design,Material Specification Review,1.45
166,P-2024-001,EMP-07,2024-02-22,Design,MEP System Planning,3.06
167,P-2024-001,EMP-03,2024-05-15,Design,Architectural Layout,2.7
168,P-2024-001,EMP-07,2024-03-22,Design,MEP System Planning,2.08
169,P-2024-001,EMP-08,2024-06-21,Design,Structural Concept,1.46
170,P-2024-001,EMP-08,2024-03-12,Design,MEP System Planning,1.94
171,P-2024-001,EMP-08,2024-05-22,Design,Structural Concept,0.93
172,P-2024-001,EMP-06,2024-03-12,Design,Facade/Exterior Detailing,2.18
173,P-2024-001,EMP-11,2024-05-17,Design,Structural Concept,2.18
174,P-2024-001,EMP-02,2024-03-25,Design,Structural Concept,4.28
175,P-2024-001,EMP-03,2024-05-10,Design,Facade/Exterior Detailing,3.33
176,P-2024-001,EMP-01,2024-07-15,Design,Architectural Layout,1.05
177,P-2024-001,EMP-11,2024-02-03,Design,Material Specification Review,1.61
178,P-2024-001,EMP-11,2024-04-04,Design,Facade/Exterior Detailing,3.75
179,P-2024-001,EMP-04,2024-02-06,Design,Architectural Layout,3.14
180,P-2024-001,EMP-03,2024-04-27,Design,Facade/Exterior Detailing,3.39
181,P-2024-001,EMP-02,2024-07-19,Design,Architectural Layout,1.56
182,P-2024-001,EMP-04,2024-06-17,Design,Material Specification Review,3.75
183,P-2024-001,EMP-03,2024-02-06,Design,Architectural Layout,2.36
184,P-2024-001,EMP-09,2024-02-03,Design,Architectural Layout,2.01
185,P-2024-001,EMP-07,2024-05-08,Design,MEP System Planning,3.22
186,P-2024-001,EMP-08,2024-07-11,Design,Material Specification Review,2.87
187,P-2024-001,EMP-02,2024-08-02,Design,MEP System Planning,3.25
188,P-2024-001,EMP-03,2024-04-06,Design,Structural Concept,2.96
189,P-2024-001,EMP-11,2024-06-06,Design,Material Specification Review,4.13
190,P-2024-001,EMP-03,2024-03-19,Design,Facade/Exterior Detailing,3.26
191,P-2024-001,EMP-02,2024-05-25,Design,Facade/Exterior Detailing,3.55
192,P-2024-001,EMP-03,2024-07-11,Design,Structural Concept,4.11
193,P-2024-001,EMP-07,2024-07-25,Design,MEP System Planning,2.81
194,P-2024-001,EMP-11,2024-04-25,Design,MEP System Planning,4.9
195,P-2024-001,EMP-09,2024-07-05,Design,MEP System Planning,1.7
196,P-2024-001,EMP-01,2024-02-18,Design,Structural Concept,4.87
197,P-2024-001,EMP-01,2024-05-03,Design,Material Specification Review,3.16
198,P-2024-001,EMP-05,2024-06-17,Design,Architectural Layout,1.96
199,P-2024-001,EMP-06,2024-03-06,Design,Structural Concept,2.8
200,P-2024-001,EMP-03,2024-08-09,Design,Structural Concept,3.41
201,P-2024-001,EMP-01,2024-07-23,Design,Architectural Layout,3.02
202,P-2024-001,EMP-07,2024-03-15,Design,Facade/Exterior Detailing,2.67
203,P-2024-001,EMP-06,2024-03-18,Design,Material Specification Review,3.96
204,P-2024-001,EMP-08,2024-03-11,Design,Architectural Layout,1.17
205,P-2024-001,EMP-05,2024-07-09,Design,Architectural Layout,2.42
206,P-2024-001,EMP-07,2024-02-16,Design,Architectural Layout,1.2
207,P-2024-001,EMP-10,2024-02-21,Design,Material Specification Review,2.16
208,P-2024-001,EMP-09,2024-04-14,Design,Facade/Exterior Detailing,1.98
209,P-2024-001,EMP-11,2024-01-26,Design,Material Specification Review,2.39
210,P-2024-001,EMP-11,2024-05-15,Design,Structural Concept,2.04
211,P-2024-001,EMP-03,2024-06-17,Design,Facade/Exterior Detailing,2.99
212,P-2024-001,EMP-05,2024-03-05,Design,Architectural Layout,1.09
213,P-2024-001,EMP-02,2024-04-18,Design,MEP System Planning,0.99
214,P-2024-001,EMP-09,2024-06-21,Design,Architectural Layout,4.68
215,P-2024-001,EMP-02,2024-06-11,Design,Architectural Layout,0.84
216,P-2024-001,EMP-06,2024-08-09,Design,Facade/Exterior Detailing,3.16
217,P-2024-001,EMP-11,2024-06-18,Design,Architectural Layout,0.25
218,P-2024-001,EMP-10,2024-02-10,Design,MEP System Planning,2.02
219,P-2024-001,EMP-11,2024-06-19,Design,Facade/Exterior Detailing,2.82
220,P-2024-001,EMP-01,2024-04-30,Design,Structural Concept,2.28
221,P-2024-001,EMP-08,2024-06-05,Design,Material Specification Review,3.82
222,P-2024-001,EMP-01,2024-06-24,Design,Architectural Layout,2.11
223,P-2024-001,EMP-11,2024-04-07,Design,Facade/Exterior Detailing,1.13
224,P-2024-001,EMP-09,2024-03-15,Design,Facade/Exterior Detailing,2.51
225,P-2024-001,EMP-02,2024-08-07,Design,Facade/Exterior Detailing,3.3
226,P-2024-001,EMP-11,2024-05-05,Design,Structural Concept,2.75
227,P-2024-001,EMP-03,2024-05-20,Design,Architectural Layout,3.09
228,P-2024-001,EMP-04,2024-05-09,Design,Facade/Exterior Detailing,1.75
229,P-2024-001,EMP-08,2024-03-01,Design,Structural Concept,4.17
230,P-2024-001,EMP-05,2024-04-05,Design,Structural Concept,2.61
231,P-2024-001,EMP-11,2024-07-29,Design,Material Specification Review,3.23
232,P-2024-001,EMP-10,2024-03-11,Design,Material Specification Review,3.21
233,P-2024-001,EMP-08,2024-07-16,Design,Architectural Layout,1.93
234,P-2024-001,EMP-10,2024-02-27,Design,Architectural Layout,3.35
235,P-2024-001,EMP-08,2024-06-09,Design,Architectural Layout,0.88
236,P-2024-001,EMP-08,2024-07-31,Design,Architectural Layout,1.42
237,P-2024-001,EMP-11,2024-04-11,Design,MEP System Planning,2.25
238,P-2024-001,EMP-10,2024-06-06,Design,Material Specification Review,1.98
239,P-2024-001,EMP-03,2024-05-20,Design,Architectural Layout,4.44
240,P-2024-001,EMP-06,2024-07-02,Design,Structural Concept,3.31
241,P-2024-001,EMP-04,2024-07-10,Design,Architectural Layout,1.76
242,P-2024-001,EMP-05,2024-01-18,Design,Facade/Exterior Detailing,3.71
243,P-2024-001,EMP-01,2024-03-30,Design,Structural Concept,1.14
244,P-2024-001,EMP-05,2024-03-24,Design,Facade/Exterior Detailing,2.93
245,P-2024-001,EMP-01,2024-06-02,Design,Architectural Layout,2.35
246,P-2024-001,EMP-04,2024-03-29,Design,Structural Concept,2.06
247,P-2024-001,EMP-10,2024-07-28,Design,Facade/Exterior Detailing,4.42
248,P-2024-001,EMP-07,2024-03-08,Design,Structural Concept,1.09
249,P-2024-001,EMP-06,2024-02-08,Design,Material Specification Review,2.57
250,P-2024-001,EMP-08,2024-03-12,Design,MEP System Planning,1.83
251,P-2024-001,EMP-09,2024-01-28,Design,MEP System Planning,1.6
252,P-2024-001,EMP-11,2024-07-15,Design,MEP System Planning,2.01
253,P-2024-001,EMP-07,2024-04-09,Design,Material Specification Review,2.41
254,P-2024-001,EMP-10,2024-01-22,Design,Material Specification Review,2.05
255,P-2024-001,EMP-03,2024-05-09,Design,Structural Concept,1.77
256,P-2024-001,EMP-01,2024-08-08,Design,MEP System Planning,1.57
257,P-2024-001,EMP-07,2024-02-08,Design,Facade/Exterior Detailing,2.86
258,P-2024-001,EMP-05,2024-06-24,Design,Material Specification Review,1.88
259,P-2024-001,EMP-06,2024-05-22,Design,Material Specification Review,2.13
260,P-2024-001,EMP-02,2024-05-06,Design,Facade/Exterior Detailing,2.36
261,P-2024-001,EMP-11,2024-08-09,Design,Architectural Layout,4.74
262,P-2024-001,EMP-07,2024-06-24,Design,Material Specification Review,3.63
263,P-2024-001,EMP-01,2024-01-29,Design,Material Specification Review,2.49
264,P-2024-001,EMP-07,2024-08-08,Design,Material Specification Review,3.44
265,P-2024-001,EMP-01,2024-08-04,Design,Architectural Layout,3.29
266,P-2024-001,EMP-10,2024-06-12,Design,Structural Concept,2.02
267,P-2024-001,EMP-03,2024-07-25,Design,Structural Concept,2.39
268,P-2024-001,EMP-09,2024-05-12,Design,Material Specification Review,2.82
269,P-2024-001,EMP-09,2024-06-01,Design,Material Specification Review,2.76
270,P-2024-001,EMP-09,2024-02-09,Design,Material Specification Review,4.13
271,P-2024-001,EMP-04,2024-07-13,Design,Structural Concept,2.7
272,P-2024-001,EMP-03,2024-03-31,Design,Structural Concept,2.21
273,P-2024-001,EMP-04,2024-04-30,Design,MEP System Planning,3.22
274,P-2024-001,EMP-01,2024-05-07,Design,Material Specification Review,3.25
275,P-2024-001,EMP-04,2024-03-17,Design,Material Specification Review,2.76
276,P-2024-001,EMP-11,2024-06-21,Design,Material Specification Review,3.14
277,P-2024-001,EMP-10,2024-01-22,Design,Structural Concept,2.46
278,P-2024-001,EMP-05,2024-04-12,Design,Material Specification Review,2.58
279,P-2024-001,EMP-11,2024-03-01,Design,Architectural Layout,2.55
280,P-2024-001,EMP-11,2024-05-09,Design,Structural Concept,1.01
281,P-2024-001,EMP-09,2024-01-17,Design,Facade/Exterior Detailing,2.26
282,P-2024-001,EMP-01,2024-04-13,Design,Architectural Layout,2.96
283,P-2024-001,EMP-02,2024-02-10,Design,Structural Concept,2.96
284,P-2024-001,EMP-11,2024-06-28,Design,Architectural Layout,1.41
285,P-2024-001,EMP-06,2024-07-19,Design,Facade/Exterior Detailing,3.14
286,P-2024-001,EMP-03,2024-06-15,Design,MEP System Planning,2.13
287,P-2024-001,EMP-06,2024-04-15,Design,Facade/Exterior Detailing,3.29
288,P-2024-001,EMP-08,2024-03-15,Design,Structural Concept,2.64
289,P-2024-001,EMP-04,2024-08-03,Design,Structural Concept,1.16
290,P-2024-001,EMP-08,2024-04-26,Design,Material Specification Review,2.69
291,P-2024-001,EMP-10,2024-01-21,Design,Architectural Layout,2.19
292,P-2024-001,EMP-05,2024-07-25,Design,MEP System Planning,2.43
293,P-2024-001,EMP-07,2024-04-28,Design,Material Specification Review,0.96
294,P-2024-001,EMP-09,2024-01-30,Design,MEP System Planning,1.81
295,P-2024-001,EMP-04,2024-03-31,Design,Architectural Layout,3.1
296,P-2024-001,EMP-06,2024-07-28,Design,Facade/Exterior Detailing,1.94
297,P-2024-001,EMP-09,2024-04-13,Design,Facade/Exterior Detailing,1.95
298,P-2024-001,EMP-07,2024-05-18,Design,Architectural Layout,1.25
299,P-2024-001,EMP-08,2024-05-18,Calculation,Load Calculations (Wind/Seismic),2.69
300,P-2024-001,EMP-07,2024-01-15,Calculation,Structural Analysis (Beam/Column Sizing),2.13
301,P-2024-001,EMP-07,2024-03-18,Calculation,Structural Analysis (Beam/Column Sizing),2.54
302,P-2024-001,EMP-06,2024-02-27,Calculation,Energy Modeling,3.73
303,P-2024-001,EMP-05,2024-04-10,Calculation,Energy Modeling,3.09
304,P-2024-001,EMP-10,2024-07-06,Calculation,Structural Analysis (Beam/Column Sizing),0.87
305,P-2024-001,EMP-02,2024-06-08,Calculation,Cost Estimation Review,1.67
306,P-2024-001,EMP-07,2024-06-02,Calculation,Load Calculations (Wind/Seismic),3.64
307,P-2024-001,EMP-03,2024-04-02,Calculation,Structural Analysis (Beam/Column Sizing),0.75
308,P-2024-001,EMP-06,2024-05-01,Calculation,Permit Fee Calculation,2.02
309,P-2024-001,EMP-06,2024-02-22,Calculation,Energy Modeling,3.77
310,P-2024-001,EMP-08,2024-03-05,Calculation,Energy Modeling,1.89
311,P-2024-001,EMP-10,2024-07-18,Calculation,Structural Analysis (Beam/Column Sizing),1.54
312,P-2024-001,EMP-03,2024-03-20,Calculation,Structural Analysis (Beam/Column Sizing),2.99
313,P-2024-001,EMP-01,2024-03-25,Calculation,Structural Analysis (Beam/Column Sizing),1.95
314,P-2024-001,EMP-11,2024-01-22,Calculation,Load Calculations (Wind/Seismic),3.56
315,P-2024-001,EMP-01,2024-07-15,Calculation,Energy Modeling,1.46
316,P-2024-001,EMP-01,2024-05-12,Calculation,Cost Estimation Review,2.37
317,P-2024-001,EMP-09,2024-04-19,Calculation,Load Calculations (Wind/Seismic),2.76
318,P-2024-001,EMP-07,2024-04-11,Calculation,Cost Estimation Review,2.17
319,P-2024-001,EMP-02,2024-01-15,Calculation,Permit Fee Calculation,2.21
320,P-2024-001,EMP-08,2024-05-27,Calculation,Load Calculations (Wind/Seismic),3.82
321,P-2024-001,EMP-11,2024-01-26,Calculation,Permit Fee Calculation,1.76
322,P-2024-001,EMP-04,2024-06-10,Calculation,Energy Modeling,1.56
323,P-2024-001,EMP-06,2024-03-28,Calculation,Structural Analysis (Beam/Column Sizing),2.32
324,P-2024-001,EMP-06,2024-04-23,Calculation,Structural Analysis (Beam/Column Sizing),1.7
325,P-2024-001,EMP-05,2024-02-04,Calculation,Cost Estimation Review,0.98
326,P-2024-001,EMP-11,2024-02-08,Calculation,Cost Estimation Review,2.36
327,P-2024-001,EMP-01,2024-07-22,Calculation,Energy Modeling,3.39
328,P-2024-001,EMP-09,2024-07-30,Calculation,Load Calculations (Wind/Seismic),2.82
329,P-2024-001,EMP-05,2024-06-11,Calculation,Permit Fee Calculation,0.59
330,P-2024-001,EMP-08,2024-04-12,Calculation,Structural Analysis (Beam/Column Sizing),3.21
331,P-2024-001,EMP-10,2024-04-07,Calculation,Energy Modeling,2.75
332,P-2024-001,EMP-01,2024-07-28,Calculation,Energy Modeling,1.56
333,P-2024-001,EMP-02,2024-05-12,Calculation,Cost Estimation Review,3.19
334,P-2024-001,EMP-06,2024-01-20,Calculation,Permit Fee Calculation,2.41
335,P-2024-001,EMP-07,2024-06-27,Calculation,Cost Estimation Review,2.1
336,P-2024-001,EMP-01,2024-02-07,Calculation,Permit Fee Calculation,1.95
337,P-2024-001,EMP-10,2024-05-12,Calculation,Energy Modeling,2.85
338,P-2024-001,EMP-11,2024-07-01,Calculation,Cost Estimation Review,3.81
339,P-2024-001,EMP-06,2024-06-02,Calculation,Structural Analysis (Beam/Column Sizing),2.86
340,P-2024-001,EMP-09,2024-07-04,Calculation,Cost Estimation Review,2.3
341,P-2024-001,EMP-06,2024-04-19,Calculation,Permit Fee Calculation,0.99
342,P-2024-001,EMP-01,2024-04-13,Calculation,Structural Analysis (Beam/Column Sizing),1.07
343,P-2024-001,EMP-03,2024-06-01,Calculation,Load Calculations (Wind/Seismic),1.65
344,P-2024-001,EMP-10,2024-04-08,Calculation,Load Calculations (Wind/Seismic),0.59
345,P-2024-001,EMP-09,2024-08-04,Calculation,Cost Estimation Review,1.28
346,P-2024-001,EMP-06,2024-04-19,Calculation,Energy Modeling,2.75
347,P-2024-001,EMP-05,2024-03-09,Calculation,Cost Estimation Review,1.94
348,P-2024-001,EMP-09,2024-05-27,Calculation,Structural Analysis (Beam/Column Sizing),1.85
349,P-2024-001,EMP-06,2024-02-17,Calculation,Cost Estimation Review,3.6
350,P-2024-001,EMP-11,2024-06-09,Calculation,Permit Fee Calculation,2.61
351,P-2024-001,EMP-10,2024-01-29,Calculation,Energy Modeling,4.35
352,P-2024-001,EMP-08,2024-06-06,Calculation,Structural Analysis (Beam/Column Sizing),2.08
