log_id;project_id;employee_id;date_logged;task_category;subtask_description;hours_worked
27;P-2022-001;EMP-1;08/11/2022;Meeting;Architectural Layout;0.36
28;P-2022-001;EMP-7;02/10/2022;Meeting;MEP System Planning;2.41
29;P-2022-001;EMP-3;28/11/2022;Site Visit;Material Specification Review;0.5
30;P-2022-001;EMP-10;07/03/2023;Site Visit;Structural Concept;0.5
31;P-2022-001;EMP-3;27/02/2023;Design;Architectural Layout;0.44
32;P-2022-001;EMP-5;05/05/2023;Drafting;Facade/Exterior Detailing;3.12
33;P-2022-001;EMP-8;13/04/2023;Calculation;Material Specification Review;0.5
34;P-2022-001;EMP-4;18/06/2023;Design;Architectural Layout;2.71
35;P-2022-001;EMP-4;01/12/2022;Drafting;Facade/Exterior Detailing;1.52
36;P-2022-001;EMP-7;26/10/2022;Site Visit;Architectural Layout;0.5
37;P-2022-001;EMP-7;21/05/2023;Calculation;MEP System Planning;1.31
38;P-2022-001;EMP-9;03/02/2023;Design;MEP System Planning;0.78
39;P-2022-001;EMP-5;22/11/2022;Meeting;Structural Concept;1.65
40;P-2022-001;EMP-4;28/01/2023;Site Visit;Architectural Layout;0.93
41;P-2022-001;EMP-8;26/01/2023;Design;Facade/Exterior Detailing;1.26
42;P-2022-001;EMP-11;27/10/2022;Meeting;Facade/Exterior Detailing;0.33
43;P-2022-001;EMP-7;16/01/2023;Design;MEP System Planning;0.39
44;P-2022-001;EMP-6;14/05/2023;Drafting;Architectural Layout;1.41
45;P-2022-001;EMP-7;13/03/2023;Drafting;Facade/Exterior Detailing;0.5
46;P-2022-001;EMP-6;09/02/2023;Calculation;MEP System Planning;0.63
47;P-2022-001;EMP-6;19/06/2023;Design;Architectural Layout;0.5
48;P-2022-001;EMP-11;08/01/2023;Meeting;Facade/Exterior Detailing;1.08
49;P-2022-001;EMP-10;19/11/2022;Meeting;MEP System Planning;0.5
50;P-2022-001;EMP-5;18/02/2023;Drafting;Facade/Exterior Detailing;2.17
51;P-2022-001;EMP-8;03/02/2023;Drafting;Architectural Layout;2.88
52;P-2022-001;EMP-2;12/05/2023;Meeting;MEP System Planning;0.5
53;P-2022-001;EMP-3;07/04/2023;Drafting;MEP System Planning;3.34
54;P-2022-001;EMP-11;27/12/2022;Design;MEP System Planning;2.24
55;P-2022-001;EMP-2;03/10/2022;Meeting;Facade/Exterior Detailing;0.26
56;P-2022-001;EMP-8;26/11/2022;Drafting;Material Specification Review;2.59
57;P-2022-001;EMP-8;24/10/2022;Meeting;Architectural Layout;0.69
58;P-2022-001;EMP-6;22/12/2022;Design;Facade/Exterior Detailing;0.67
59;P-2022-001;EMP-9;15/02/2023;Drafting;MEP System Planning;0.5
60;P-2022-001;EMP-10;15/12/2022;Drafting;Structural Concept;0.74
61;P-2022-001;EMP-8;27/11/2022;Drafting;Facade/Exterior Detailing;0.5
62;P-2022-001;EMP-10;16/06/2023;Meeting;Structural Concept;1.44
63;P-2022-001;EMP-5;08/03/2023;Site Visit;Material Specification Review;0.5
64;P-2022-001;EMP-4;10/03/2023;Design;Structural Concept;2.44
65;P-2022-001;EMP-8;01/05/2023;Meeting;Facade/Exterior Detailing;2.81
66;P-2022-001;EMP-10;27/05/2023;Drafting;MEP System Planning;5.43
67;P-2022-001;EMP-1;17/04/2023;Calculation;Facade/Exterior Detailing;2.11
68;P-2022-001;EMP-2;08/02/2023;Meeting;Structural Concept;0.5
69;P-2022-001;EMP-5;02/10/2022;Design;Structural Concept;2.53
70;P-2022-001;EMP-10;18/05/2023;Site Visit;MEP System Planning;0.5
71;P-2022-001;EMP-1;13/02/2023;Calculation;MEP System Planning;1.03
72;P-2022-001;EMP-9;27/03/2023;Meeting;Structural Concept;1.93
73;P-2022-001;EMP-10;25/02/2023;Drafting;Architectural Layout;0.5
74;P-2022-001;EMP-11;26/05/2023;Meeting;Structural Concept;1.33
75;P-2022-001;EMP-8;03/03/2023;Calculation;Structural Concept;1.53
76;P-2022-001;EMP-6;07/12/2022;Calculation;MEP System Planning;0.5
77;P-2022-001;EMP-4;15/11/2022;Drafting;MEP System Planning;0.91
78;P-2022-001;EMP-5;09/04/2023;Drafting;Facade/Exterior Detailing;1.0
79;P-2022-001;EMP-2;25/04/2023;Calculation;Material Specification Review;2.89
80;P-2022-001;EMP-1;10/01/2023;Design;Architectural Layout;0.5
81;P-2022-001;EMP-1;21/05/2023;Calculation;Facade/Exterior Detailing;3.46
82;P-2022-001;EMP-2;24/10/2022;Calculation;MEP System Planning;0.5
83;P-2022-001;EMP-5;11/11/2022;Drafting;Architectural Layout;2.9
84;P-2022-001;EMP-1;26/03/2023;Drafting;Facade/Exterior Detailing;1.43
85;P-2022-001;EMP-6;21/12/2022;Meeting;MEP System Planning;0.37
86;P-2022-001;EMP-5;22/06/2023;Site Visit;MEP System Planning;0.5
87;P-2022-001;EMP-11;10/01/2023;Design;Structural Concept;1.78
88;P-2022-001;EMP-10;23/02/2023;Meeting;Structural Concept;0.5
89;P-2022-001;EMP-4;10/11/2022;Drafting;Material Specification Review;1.49
90;P-2022-001;EMP-1;29/11/2022;Design;MEP System Planning;0.57
91;P-2022-001;EMP-7;27/10/2022;Meeting;MEP System Planning;3.11
92;P-2022-001;EMP-5;22/06/2023;Drafting;Material Specification Review;1.57
93;P-2022-001;EMP-9;20/03/2023;Site Visit;Structural Concept;0.82
94;P-2022-001;EMP-5;25/12/2022;Calculation;Architectural Layout;0.59
95;P-2022-001;EMP-4;01/10/2022;Calculation;Material Specification Review;2.17
96;P-2022-001;EMP-7;12/02/2023;Site Visit;Material Specification Review;4.92
97;P-2022-001;EMP-2;03/03/2023;Drafting;Architectural Layout;1.74
98;P-2022-001;EMP-1;18/12/2022;Drafting;Architectural Layout;1.22
99;P-2022-001;EMP-10;14/04/2023;Site Visit;Structural Concept;0.58
100;P-2022-001;EMP-6;19/02/2023;Calculation;Material Specification Review;2.57
101;P-2022-001;EMP-7;25/04/2023;Design;Material Specification Review;3.37
102;P-2022-001;EMP-11;04/06/2023;Site Visit;Facade/Exterior Detailing;1.11
103;P-2022-001;EMP-11;16/06/2023;Site Visit;Material Specification Review;3.06
104;P-2022-001;EMP-6;21/02/2023;Design;Architectural Layout;2.83
105;P-2022-001;EMP-10;31/01/2023;Design;Facade/Exterior Detailing;0.61
106;P-2022-001;EMP-1;08/01/2023;Calculation;MEP System Planning;1.99
107;P-2022-001;EMP-3;22/02/2023;Site Visit;Facade/Exterior Detailing;0.5
108;P-2022-001;EMP-9;18/04/2023;Site Visit;Facade/Exterior Detailing;1.64
109;P-2022-001;EMP-3;18/04/2023;Meeting;Material Specification Review;0.5
110;P-2022-001;EMP-5;19/06/2023;Site Visit;Structural Concept;3.47
111;P-2022-001;EMP-1;30/10/2022;Design;MEP System Planning;0.88
112;P-2022-001;EMP-5;28/10/2022;Meeting;Material Specification Review;1.5
113;P-2022-001;EMP-3;01/04/2023;Drafting;Architectural Layout;0.5
114;P-2022-001;EMP-6;12/10/2022;Calculation;Structural Concept;2.84
115;P-2022-001;EMP-1;09/01/2023;Site Visit;Structural Concept;0.72
116;P-2022-001;EMP-5;28/02/2023;Meeting;Structural Concept;1.08
117;P-2022-001;EMP-8;06/05/2023;Calculation;Material Specification Review;0.5
118;P-2022-001;EMP-6;05/06/2023;Calculation;Structural Concept;2.81
119;P-2022-001;EMP-7;20/05/2023;Design;MEP System Planning;1.81
120;P-2022-001;EMP-8;27/04/2023;Site Visit;Architectural Layout;2.55
121;P-2022-001;EMP-2;24/05/2023;Meeting;Architectural Layout;3.17
122;P-2022-001;EMP-2;27/10/2022;Meeting;Facade/Exterior Detailing;1.37
123;P-2022-001;EMP-6;10/10/2022;Site Visit;Architectural Layout;0.5
124;P-2022-001;EMP-5;29/12/2022;Meeting;Structural Concept;0.59
125;P-2022-001;EMP-10;23/12/2022;Design;MEP System Planning;0.5
126;P-2022-001;EMP-10;29/04/2023;Meeting;Facade/Exterior Detailing;2.26
127;P-2022-001;EMP-5;16/12/2022;Design;Material Specification Review;1.14
128;P-2022-001;EMP-6;05/05/2023;Design;MEP System Planning;2.69
129;P-2022-001;EMP-8;14/10/2022;Drafting;MEP System Planning;2.43
130;P-2022-001;EMP-1;26/11/2022;Drafting;Facade/Exterior Detailing;0.5
131;P-2022-001;EMP-7;07/02/2023;Drafting;Facade/Exterior Detailing;0.5
132;P-2022-001;EMP-11;04/01/2023;Design;Facade/Exterior Detailing;0.5
133;P-2022-001;EMP-3;15/10/2022;Site Visit;MEP System Planning;0.5
134;P-2022-001;EMP-4;31/01/2023;Site Visit;Material Specification Review;0.37
135;P-2022-001;EMP-6;18/03/2023;Drafting;Architectural Layout;1.82
136;P-2022-001;EMP-9;22/02/2023;Drafting;Material Specification Review;2.13
137;P-2022-001;EMP-3;29/11/2022;Calculation;Facade/Exterior Detailing;0.5
138;P-2022-001;EMP-10;30/04/2023;Calculation;Material Specification Review;3.28
139;P-2022-001;EMP-6;03/02/2023;Meeting;MEP System Planning;2.31
140;P-2022-001;EMP-4;24/11/2022;Drafting;Material Specification Review;2.32
141;P-2022-001;EMP-1;03/03/2023;Site Visit;Material Specification Review;0.5
142;P-2022-001;EMP-6;16/12/2022;Design;Structural Concept;2.88
143;P-2022-001;EMP-2;18/06/2023;Site Visit;Structural Concept;0.5
144;P-2022-001;EMP-4;27/02/2023;Meeting;MEP System Planning;0.32
145;P-2022-001;EMP-11;25/12/2022;Site Visit;MEP System Planning;0.66
146;P-2022-001;EMP-8;11/06/2023;Drafting;Facade/Exterior Detailing;0.5
147;P-2022-001;EMP-11;13/05/2023;Meeting;Facade/Exterior Detailing;0.5
148;P-2022-001;EMP-10;03/06/2023;Calculation;Facade/Exterior Detailing;1.67
149;P-2022-001;EMP-8;01/05/2023;Calculation;MEP System Planning;2.37
150;P-2022-001;EMP-2;25/03/2023;Drafting;Structural Concept;0.5
151;P-2022-001;EMP-9;31/12/2022;Site Visit;Architectural Layout;1.64
152;P-2022-001;EMP-2;09/05/2023;Drafting;Structural Concept;0.93
153;P-2022-001;EMP-2;07/03/2023;Meeting;Architectural Layout;1.06
154;P-2022-001;EMP-5;18/05/2023;Meeting;Facade/Exterior Detailing;3.87
155;P-2022-001;EMP-9;16/02/2023;Meeting;Structural Concept;2.31
156;P-2022-001;EMP-11;02/04/2023;Drafting;MEP System Planning;2.03
157;P-2022-001;EMP-9;04/06/2023;Calculation;Material Specification Review;0.5
158;P-2022-001;EMP-2;12/06/2023;Design;Architectural Layout;0.48
159;P-2022-001;EMP-8;06/12/2022;Calculation;Facade/Exterior Detailing;1.62
160;P-2022-001;EMP-5;04/11/2022;Design;Material Specification Review;1.14
161;P-2022-001;EMP-10;08/01/2023;Meeting;MEP System Planning;1.87
162;P-2022-001;EMP-6;07/11/2022;Site Visit;Structural Concept;0.5
163;P-2022-001;EMP-1;30/11/2022;Site Visit;Permit Fee Calculation;0.5
164;P-2022-001;EMP-10;16/03/2023;Design;Cost Estimation Review;2.83
165;P-2022-001;EMP-10;18/02/2023;Site Visit;Permit Fee Calculation;3.45
166;P-2022-001;EMP-5;03/10/2022;Drafting;Cost Estimation Review;0.5
167;P-2022-001;EMP-5;21/10/2022;Calculation;Energy Modeling;1.77
168;P-2022-001;EMP-5;07/05/2023;Meeting;Structural Analysis (Beam/Column Sizing);0.5
169;P-2022-001;EMP-5;15/02/2023;Site Visit;Permit Fee Calculation;0.27
170;P-2022-001;EMP-9;27/01/2023;Drafting;Load Calculations (Wind/Seismic);0.41
171;P-2022-001;EMP-10;20/12/2022;Drafting;Structural Analysis (Beam/Column Sizing);2.68
172;P-2022-001;EMP-5;12/01/2023;Design;Structural Analysis (Beam/Column Sizing);1.35
173;P-2022-001;EMP-5;16/04/2023;Site Visit;Energy Modeling;3.66
174;P-2022-001;EMP-3;30/04/2023;Design;Energy Modeling;0.5
175;P-2022-001;EMP-8;24/02/2023;Calculation;Permit Fee Calculation;3.14
176;P-2022-001;EMP-1;30/10/2022;Design;Cost Estimation Review;0.5
177;P-2022-001;EMP-1;27/10/2022;Site Visit;Cost Estimation Review;0.5
178;P-2022-001;EMP-2;08/06/2023;Calculation;Permit Fee Calculation;1.49
179;P-2022-001;EMP-5;20/10/2022;Site Visit;Structural Analysis (Beam/Column Sizing);1.55
180;P-2022-001;EMP-9;25/02/2023;Calculation;Structural Analysis (Beam/Column Sizing);1.0
181;P-2022-001;EMP-5;21/05/2023;Meeting;Energy Modeling;1.54
182;P-2022-001;EMP-11;11/06/2023;Site Visit;Load Calculations (Wind/Seismic);2.22
183;P-2022-001;EMP-9;04/12/2022;Drafting;Permit Fee Calculation;1.61
184;P-2022-001;EMP-7;12/03/2023;Drafting;Energy Modeling;1.01
185;P-2022-001;EMP-10;26/04/2023;Calculation;Load Calculations (Wind/Seismic);0.5
186;P-2022-001;EMP-3;19/01/2023;Site Visit;Cost Estimation Review;3.05
187;P-2022-001;EMP-11;03/03/2023;Drafting;Energy Modeling;0.39
188;P-2022-001;EMP-5;19/12/2022;Calculation;Load Calculations (Wind/Seismic);0.65
189;P-2022-001;EMP-9;11/02/2023;Meeting;Permit Fee Calculation;1.49
190;P-2022-001;EMP-8;24/03/2023;Drafting;Structural Analysis (Beam/Column Sizing);1.95
191;P-2022-001;EMP-3;14/11/2022;Calculation;Structural Analysis (Beam/Column Sizing);0.53
192;P-2022-001;EMP-8;13/12/2022;Site Visit;Energy Modeling;3.72
193;P-2022-001;EMP-3;19/03/2023;Design;Energy Modeling;0.5
194;P-2022-001;EMP-6;21/05/2023;Design;Energy Modeling;0.5
195;P-2022-001;EMP-10;20/06/2023;Drafting;Load Calculations (Wind/Seismic);0.54
196;P-2022-001;EMP-3;03/04/2023;Drafting;Energy Modeling;0.95
197;P-2022-001;EMP-4;28/05/2023;Drafting;Cost Estimation Review;1.8
198;P-2022-001;EMP-3;08/01/2023;Calculation;Structural Analysis (Beam/Column Sizing);1.27
199;P-2022-001;EMP-6;04/05/2023;Drafting;Cost Estimation Review;0.5
200;P-2022-001;EMP-3;10/11/2022;Meeting;Permit Fee Calculation;3.06
201;P-2022-001;EMP-7;13/11/2022;Design;Permit Fee Calculation;0.5
202;P-2022-001;EMP-9;24/04/2023;Drafting;Load Calculations (Wind/Seismic);1.58
203;P-2022-001;EMP-8;30/04/2023;Calculation;Cost Estimation Review;0.92
204;P-2022-001;EMP-6;13/11/2022;Drafting;Energy Modeling;0.99
205;P-2022-001;EMP-7;25/06/2023;Design;Structural Analysis (Beam/Column Sizing);0.81
206;P-2022-001;EMP-11;21/01/2023;Meeting;Cost Estimation Review;0.5
207;P-2022-001;EMP-1;09/05/2023;Site Visit;Permit Fee Calculation;0.5
208;P-2022-001;EMP-1;23/05/2023;Drafting;Permit Fee Calculation;0.5
209;P-2022-001;EMP-8;06/01/2023;Drafting;Cost Estimation Review;0.5
210;P-2022-001;EMP-2;03/03/2023;Design;Permit Fee Calculation;0.85
211;P-2022-001;EMP-10;02/12/2022;Site Visit;Permit Fee Calculation;2.25
212;P-2022-001;EMP-6;06/04/2023;Site Visit;Permit Fee Calculation;0.5
213;P-2022-001;EMP-9;04/02/2023;Calculation;Permit Fee Calculation;1.36
214;P-2022-001;EMP-9;01/03/2023;Site Visit;Energy Modeling;1.89
215;P-2022-001;EMP-9;20/05/2023;Drafting;Permit Fee Calculation;0.5
216;P-2022-001;EMP-9;11/03/2023;Site Visit;Structural Analysis (Beam/Column Sizing);3.53
217;P-2022-001;EMP-9;28/01/2023;Design;Load Calculations (Wind/Seismic);0.54
218;P-2022-001;EMP-5;14/01/2023;Calculation;Energy Modeling;0.5
219;P-2022-001;EMP-9;13/11/2022;Drafting;Cost Estimation Review;0.81
220;P-2022-001;EMP-2;23/10/2022;Meeting;Load Calculations (Wind/Seismic);0.48
221;P-2022-001;EMP-9;01/03/2023;Calculation;Energy Modeling;2.11
222;P-2022-001;EMP-1;04/06/2023;Drafting;Load Calculations (Wind/Seismic);3.06
223;P-2022-001;EMP-5;01/12/2022;Calculation;Load Calculations (Wind/Seismic);0.5
224;P-2022-001;EMP-2;20/10/2022;Calculation;Cost Estimation Review;0.5
225;P-2022-001;EMP-5;13/02/2023;Meeting;Structural Analysis (Beam/Column Sizing);0.5
226;P-2022-001;EMP-6;16/12/2022;Design;Structural Analysis (Beam/Column Sizing);2.6
227;P-2022-001;EMP-11;01/04/2023;Design;Cost Estimation Review;3.12
228;P-2022-001;EMP-3;15/02/2023;Meeting;Structural Analysis (Beam/Column Sizing);1.3
229;P-2022-001;EMP-8;18/12/2022;Design;Structural Analysis (Beam/Column Sizing);0.5
230;P-2022-001;EMP-11;17/10/2022;Design;Load Calculations (Wind/Seismic);0.5
231;P-2022-001;EMP-7;01/11/2022;Calculation;Energy Modeling;0.62
232;P-2022-001;EMP-10;10/11/2022;Drafting;Energy Modeling;0.39
233;P-2022-001;EMP-2;28/06/2023;Drafting;Cost Estimation Review;1.47
234;P-2022-001;EMP-8;18/03/2023;Meeting;Structural Analysis (Beam/Column Sizing);0.48
235;P-2022-001;EMP-3;27/03/2023;Design;Structural Analysis (Beam/Column Sizing);2.61
236;P-2022-001;EMP-8;05/10/2022;Design;Load Calculations (Wind/Seismic);0.5
237;P-2022-001;EMP-1;20/06/2023;Calculation;Cost Estimation Review;1.89
238;P-2022-001;EMP-11;05/12/2022;Meeting;Permit Fee Calculation;1.12
239;P-2022-001;EMP-4;12/03/2023;Site Visit;Cost Estimation Review;2.11
240;P-2022-001;EMP-6;22/06/2023;Meeting;Load Calculations (Wind/Seismic);1.01
241;P-2022-001;EMP-4;12/11/2022;Calculation;Structural Analysis (Beam/Column Sizing);3.29
242;P-2022-001;EMP-3;29/06/2023;Design;Load Calculations (Wind/Seismic);1.49
243;P-2022-001;EMP-1;11/10/2022;Calculation;Structural Analysis (Beam/Column Sizing);0.5
244;P-2022-001;EMP-4;23/05/2023;Design;Structural Analysis (Beam/Column Sizing);0.5
245;P-2022-001;EMP-11;24/10/2022;Design;Permit Fee Calculation;1.4
246;P-2022-001;EMP-8;29/10/2022;Calculation;Permit Fee Calculation;1.37
247;P-2022-001;EMP-2;21/03/2023;Site Visit;Energy Modeling;0.63
248;P-2022-001;EMP-7;08/11/2022;Drafting;Permit Fee Calculation;1.75
249;P-2022-001;EMP-6;30/05/2023;Site Visit;Load Calculations (Wind/Seismic);1.66
250;P-2022-001;EMP-11;11/04/2023;Calculation;Cost Estimation Review;0.91
251;P-2022-001;EMP-10;11/02/2023;Meeting;Energy Modeling;0.5
252;P-2022-001;EMP-6;21/04/2023;Drafting;Load Calculations (Wind/Seismic);0.5
253;P-2022-001;EMP-9;03/06/2023;Calculation;Structural Analysis (Beam/Column Sizing);2.23
254;P-2022-001;EMP-6;27/04/2023;Site Visit;Structural Analysis (Beam/Column Sizing);2.7
255;P-2022-001;EMP-4;10/10/2022;Design;Load Calculations (Wind/Seismic);0.5
256;P-2022-001;EMP-6;15/06/2023;Calculation;Permit Fee Calculation;3.98
257;P-2022-001;EMP-2;12/10/2022;Site Visit;Energy Modeling;1.73
258;P-2022-001;EMP-4;07/02/2023;Calculation;Permit Fee Calculation;3.1
259;P-2022-001;EMP-1;19/10/2022;Calculation;Structural Analysis (Beam/Column Sizing);0.89
260;P-2022-001;EMP-3;23/04/2023;Drafting;Load Calculations (Wind/Seismic);0.5
261;P-2022-001;EMP-7;28/04/2023;Calculation;Load Calculations (Wind/Seismic);0.81
262;P-2022-001;EMP-5;16/04/2023;Calculation;Permit Fee Calculation;1.96
263;P-2022-001;EMP-11;05/01/2023;Site Visit;Energy Modeling;1.91
264;P-2022-001;EMP-9;26/03/2023;Meeting;Cost Estimation Review;5.88
265;P-2022-001;EMP-9;30/01/2023;Calculation;Cost Estimation Review;4.01
266;P-2022-001;EMP-7;08/06/2023;Drafting;Load Calculations (Wind/Seismic);1.68
267;P-2022-001;EMP-4;25/11/2022;Calculation;Energy Modeling;0.5
268;P-2022-001;EMP-6;06/11/2022;Meeting;Load Calculations (Wind/Seismic);0.94
269;P-2022-001;EMP-10;17/11/2022;Site Visit;Cost Estimation Review;0.5
270;P-2022-001;EMP-9;03/10/2022;Calculation;Permit Fee Calculation;0.5
271;P-2022-001;EMP-2;01/04/2023;Meeting;Load Calculations (Wind/Seismic);3.31
272;P-2022-001;EMP-6;22/11/2022;Calculation;Cost Estimation Review;1.51
273;P-2022-001;EMP-6;26/06/2023;Design;Load Calculations (Wind/Seismic);0.5
274;P-2022-001;EMP-8;07/03/2023;Calculation;Structural Analysis (Beam/Column Sizing);1.11
275;P-2022-001;EMP-7;18/11/2022;Design;Load Calculations (Wind/Seismic);1.6
276;P-2022-001;EMP-11;10/04/2023;Meeting;Structural Analysis (Beam/Column Sizing);2.11
277;P-2022-001;EMP-5;10/02/2023;Site Visit;Cost Estimation Review;1.89
278;P-2022-001;EMP-5;18/12/2022;Calculation;Permit Fee Calculation;1.27
279;P-2022-001;EMP-10;05/11/2022;Drafting;Load Calculations (Wind/Seismic);0.87
280;P-2022-001;EMP-5;24/04/2023;Meeting;Energy Modeling;0.5
281;P-2022-001;EMP-6;01/01/2023;Design;Cost Estimation Review;0.42
282;P-2022-001;EMP-9;10/02/2023;Site Visit;Structural Analysis (Beam/Column Sizing);1.48
283;P-2022-001;EMP-9;27/03/2023;Site Visit;Permit Fee Calculation;0.5
284;P-2022-001;EMP-4;31/01/2023;Design;Permit Fee Calculation;0.64
285;P-2022-001;EMP-5;14/10/2022;Drafting;Structural Analysis (Beam/Column Sizing);0.5
286;P-2022-001;EMP-6;08/03/2023;Calculation;Energy Modeling;2.21
287;P-2022-001;EMP-8;22/12/2022;Calculation;Load Calculations (Wind/Seismic);0.5
288;P-2022-001;EMP-10;29/01/2023;Design;Load Calculations (Wind/Seismic);3.96
289;P-2022-001;EMP-1;03/11/2022;Drafting;Structural Analysis (Beam/Column Sizing);0.71
290;P-2022-001;EMP-8;06/02/2023;Design;Load Calculations (Wind/Seismic);0.5
291;P-2022-001;EMP-3;12/01/2023;Drafting;Energy Modeling;1.03
292;P-2022-001;EMP-2;11/12/2022;Meeting;Load Calculations (Wind/Seismic);0.29
293;P-2022-001;EMP-3;04/03/2023;Design;Energy Modeling;0.5
294;P-2022-001;EMP-7;16/10/2022;Drafting;Structural Analysis (Beam/Column Sizing);3.19
295;P-2022-001;EMP-11;13/04/2023;Drafting;Energy Modeling;1.81
296;P-2022-001;EMP-5;17/01/2023;Design;Energy Modeling;0.5
297;P-2022-001;EMP-6;24/11/2022;Calculation;Structural Analysis (Beam/Column Sizing);2.56
298;P-2022-001;EMP-1;20/05/2023;Site Visit;Cost Estimation Review;0.5
299;P-2022-001;EMP-6;25/11/2022;Calculation;Load Calculations (Wind/Seismic);0.53
300;P-2022-001;EMP-4;29/06/2023;Meeting;Structural Analysis (Beam/Column Sizing);0.5
301;P-2022-001;EMP-10;17/02/2023;Site Visit;Load Calculations (Wind/Seismic);0.79
302;P-2022-001;EMP-1;25/12/2022;Meeting;Load Calculations (Wind/Seismic);0.5
303;P-2022-001;EMP-11;03/05/2023;Site Visit;Permit Fee Calculation;0.5
304;P-2022-001;EMP-2;17/06/2023;Meeting;Permit Fee Calculation;0.5
305;P-2022-001;EMP-7;15/02/2023;Calculation;Permit Fee Calculation;0.54
306;P-2022-001;EMP-6;22/05/2023;Design;Energy Modeling;0.31
307;P-2022-001;EMP-5;14/03/2023;Meeting;Load Calculations (Wind/Seismic);0.5
308;P-2022-001;EMP-8;06/12/2022;Meeting;Energy Modeling;0.92
309;P-2022-001;EMP-7;10/10/2022;Design;Cost Estimation Review;0.5
310;P-2022-001;EMP-11;19/11/2022;Meeting;Energy Modeling;1.17
311;P-2022-001;EMP-10;01/03/2023;Meeting;Permit Fee Calculation;0.5
312;P-2022-001;EMP-5;15/11/2022;Calculation;Load Calculations (Wind/Seismic);0.5
313;P-2022-001;EMP-7;27/05/2023;Design;Permit Fee Calculation;1.02
314;P-2022-001;EMP-10;26/12/2022;Meeting;Structural Analysis (Beam/Column Sizing);0.54
315;P-2022-001;EMP-1;19/10/2022;Calculation;Cost Estimation Review;0.69
316;P-2022-001;EMP-1;21/05/2023;Design;Load Calculations (Wind/Seismic);1.01
317;P-2022-001;EMP-5;01/11/2022;Calculation;Structural Analysis (Beam/Column Sizing);0.5
318;P-2022-001;EMP-2;15/06/2023;Calculation;Load Calculations (Wind/Seismic);0.99
319;P-2022-001;EMP-6;09/02/2023;Site Visit;Permit Fee Calculation;1.84
320;P-2022-001;EMP-10;16/05/2023;Meeting;Structural Analysis (Beam/Column Sizing);0.72
321;P-2022-001;EMP-3;29/11/2022;Design;Permit Fee Calculation;2.32
322;P-2022-001;EMP-3;16/04/2023;Drafting;Load Calculations (Wind/Seismic);0.5
323;P-2022-001;EMP-2;16/10/2022;Calculation;Cost Estimation Review;2.77
324;P-2022-001;EMP-8;24/04/2023;Design;Energy Modeling;0.51
325;P-2022-001;EMP-2;16/04/2023;Calculation;Permit Fee Calculation;0.5
326;P-2022-001;EMP-6;11/03/2023;Site Visit;Structural Analysis (Beam/Column Sizing);1.02
327;P-2022-001;EMP-3;24/06/2023;Calculation;Cost Estimation Review;1.5
328;P-2022-001;EMP-8;29/04/2023;Site Visit;Energy Modeling;0.5
329;P-2022-001;EMP-9;08/03/2023;Site Visit;Permit Fee Calculation;3.03
330;P-2022-001;EMP-8;19/06/2023;Design;Load Calculations (Wind/Seismic);0.5
331;P-2022-001;EMP-2;28/10/2022;Design;Permit Fee Calculation;0.5
332;P-2022-001;EMP-1;17/02/2023;Meeting;Permit Fee Calculation;0.5
333;P-2022-001;EMP-4;26/12/2022;Drafting;Structural Analysis (Beam/Column Sizing);1.41
