log_id;project_id;employee_id;date_logged;task_category;hours_worked
141;P-2022-004;EMP-7;16/11/2022;Calculation;2.25
142;P-2022-004;EMP-8;25/10/2022;Meeting;3.25
143;P-2022-004;EMP-6;28/11/2022;Calculation;2.16
144;P-2022-004;EMP-11;06/11/2022;Meeting;3.31
145;P-2022-004;EMP-3;04/11/2022;Design;5.0
146;P-2022-004;EMP-9;27/10/2022;Calculation;4.98
147;P-2022-004;EMP-9;16/11/2022;Calculation;8.09
148;P-2022-004;EMP-8;26/11/2022;Design;2.93
149;P-2022-004;EMP-1;30/11/2022;Drafting;3.16
150;P-2022-004;EMP-3;25/11/2022;Design;2.96
151;P-2022-004;EMP-7;20/11/2022;Site Visit;4.31
152;P-2022-004;EMP-7;22/10/2022;Meeting;1.24
153;P-2022-004;EMP-11;08/11/2022;Calculation;0.98
154;P-2022-004;EMP-10;07/11/2022;Calculation;4.38
155;P-2022-004;EMP-1;21/10/2022;Meeting;3.19
156;P-2022-004;EMP-5;14/11/2022;Drafting;4.1
157;P-2022-004;EMP-3;12/11/2022;Meeting;3.19
158;P-2022-005;EMP-4;20/05/2022;Site Visit;54.47
159;P-2022-005;EMP-11;02/09/2022;Site Visit;55.34
160;P-2022-005;EMP-7;06/06/2022;Site Visit;56.01
161;P-2022-005;EMP-3;07/08/2022;Drafting;59.86
162;P-2022-005;EMP-6;23/07/2022;Calculation;56.65
163;P-2022-005;EMP-5;03/07/2022;Meeting;53.87
164;P-2022-005;EMP-11;08/06/2022;Drafting;56.19
165;P-2022-005;EMP-8;06/09/2022;Design;53.09
166;P-2022-005;EMP-1;30/07/2022;Site Visit;55.92
167;P-2022-005;EMP-7;27/08/2022;Design;55.24
168;P-2022-005;EMP-10;02/09/2022;Drafting;54.67
169;P-2022-005;EMP-4;09/06/2022;Design;53.44
170;P-2022-005;EMP-6;20/09/2022;Calculation;54.64
171;P-2022-005;EMP-6;01/10/2022;Design;56.79
172;P-2022-006;EMP-2;30/08/2022;Meeting;3.31
173;P-2022-006;EMP-11;23/08/2022;Calculation;0.5
174;P-2022-006;EMP-2;27/08/2022;Site Visit;6.17
175;P-2022-006;EMP-7;23/08/2022;Design;3.39
176;P-2022-006;EMP-5;24/08/2022;Calculation;0.5
177;P-2022-006;EMP-11;28/08/2022;Meeting;3.69
178;P-2022-006;EMP-2;26/08/2022;Drafting;4.69
179;P-2022-006;EMP-3;20/08/2022;Design;3.9
180;P-2022-006;EMP-8;22/08/2022;Design;1.32
181;P-2022-006;EMP-7;15/08/2022;Drafting;2.81
182;P-2022-006;EMP-9;21/08/2022;Drafting;2.08
183;P-2022-006;EMP-10;23/08/2022;Drafting;3.79
184;P-2022-006;EMP-3;22/08/2022;Site Visit;1.53
185;P-2022-006;EMP-7;15/08/2022;Calculation;2.87
186;P-2022-006;EMP-10;31/08/2022;Drafting;4.84
187;P-2022-006;EMP-8;14/08/2022;Meeting;6.88
188;P-2022-006;EMP-10;24/08/2022;Drafting;1.02
189;P-2022-006;EMP-6;30/08/2022;Drafting;2.45
190;P-2022-006;EMP-3;29/08/2022;Design;1.77
191;P-2022-006;EMP-9;31/08/2022;Calculation;3.52
192;P-2022-007;EMP-5;25/05/2022;Design;33.97
193;P-2022-007;EMP-10;08/01/2023;Site Visit;34.38
194;P-2022-007;EMP-1;06/10/2022;Calculation;34.16
195;P-2022-007;EMP-9;17/11/2022;Meeting;35.06
196;P-2022-007;EMP-10;18/10/2022;Drafting;32.97
197;P-2022-007;EMP-11;16/01/2023;Meeting;34.46
198;P-2022-007;EMP-8;24/10/2022;Calculation;34.66
199;P-2022-007;EMP-6;30/07/2022;Calculation;33.06
200;P-2022-007;EMP-4;08/07/2022;Drafting;34.04
201;P-2022-007;EMP-5;30/11/2022;Drafting;34.13
202;P-2022-007;EMP-2;16/12/2022;Calculation;36.02
203;P-2022-007;EMP-1;02/09/2022;Design;33.03
204;P-2022-007;EMP-1;11/01/2023;Calculation;36.59
205;P-2022-007;EMP-2;16/06/2022;Calculation;32.71
206;P-2022-007;EMP-5;04/07/2022;Drafting;36.03
207;P-2022-007;EMP-1;16/11/2022;Drafting;34.56
208;P-2022-007;EMP-6;13/08/2022;Meeting;33.5
209;P-2022-007;EMP-5;12/02/2023;Site Visit;31.89
210;P-2022-007;EMP-11;02/09/2022;Design;34.91
211;P-2022-007;EMP-10;16/10/2022;Meeting;32.02
212;P-2022-007;EMP-4;03/07/2022;Drafting;34.62
213;P-2022-007;EMP-1;22/07/2022;Design;33.7
214;P-2022-007;EMP-7;19/06/2022;Meeting;36.24
215;P-2022-007;EMP-5;12/02/2023;Drafting;34.7
216;P-2022-007;EMP-9;10/11/2022;Site Visit;33.95
217;P-2022-007;EMP-5;17/08/2022;Calculation;33.72
218;P-2022-007;EMP-4;24/05/2022;Calculation;35.3
219;P-2022-007;EMP-7;05/10/2022;Site Visit;38.05
220;P-2022-007;EMP-2;24/10/2022;Drafting;34.87
221;P-2022-007;EMP-1;10/08/2022;Drafting;34.35
222;P-2022-007;EMP-10;05/12/2022;Site Visit;33.71
223;P-2022-007;EMP-6;12/10/2022;Calculation;35.7
224;P-2022-008;EMP-9;12/06/2022;Design;1.25
225;P-2022-008;EMP-1;15/05/2022;Design;3.52
226;P-2022-008;EMP-2;21/06/2022;Drafting;3.88
227;P-2022-008;EMP-3;29/05/2022;Meeting;3.05
228;P-2022-008;EMP-3;24/05/2022;Drafting;5.26
229;P-2022-008;EMP-11;23/06/2022;Calculation;5.04
230;P-2022-008;EMP-8;09/05/2022;Meeting;3.63
231;P-2022-008;EMP-1;21/05/2022;Calculation;3.2
232;P-2022-008;EMP-3;24/05/2022;Site Visit;2.1
233;P-2022-008;EMP-9;15/05/2022;Site Visit;4.17
234;P-2022-008;EMP-3;20/06/2022;Meeting;0.5
235;P-2022-008;EMP-5;13/05/2022;Site Visit;6.0
236;P-2022-008;EMP-1;06/06/2022;Design;3.41
237;P-2022-008;EMP-5;04/06/2022;Meeting;4.03
238;P-2022-008;EMP-3;03/06/2022;Drafting;1.48
239;P-2022-008;EMP-2;08/06/2022;Meeting;5.37
240;P-2022-008;EMP-5;26/05/2022;Meeting;5.27
241;P-2022-008;EMP-2;07/06/2022;Site Visit;2.28
242;P-2022-008;EMP-3;04/06/2022;Calculation;3.39
243;P-2022-008;EMP-7;26/06/2022;Design;1.01
244;P-2022-008;EMP-1;31/05/2022;Calculation;6.21
245;P-2022-008;EMP-2;24/06/2022;Site Visit;6.15
246;P-2022-008;EMP-2;03/06/2022;Meeting;4.22
247;P-2022-008;EMP-10;15/06/2022;Site Visit;1.75
248;P-2022-008;EMP-5;14/06/2022;Meeting;5.7
249;P-2022-008;EMP-10;24/06/2022;Meeting;4.2
250;P-2022-008;EMP-3;16/05/2022;Calculation;1.13
251;P-2022-008;EMP-3;30/05/2022;Drafting;1.13
252;P-2022-008;EMP-1;24/05/2022;Meeting;4.48
253;P-2022-008;EMP-6;21/06/2022;Design;4.15
254;P-2022-008;EMP-3;14/06/2022;Meeting;5.39
255;P-2022-008;EMP-3;31/05/2022;Design;4.51
256;P-2022-008;EMP-4;22/06/2022;Calculation;1.52
257;P-2022-008;EMP-3;03/06/2022;Calculation;1.83
258;P-2022-008;EMP-7;01/06/2022;Drafting;2.65
259;P-2022-008;EMP-9;17/05/2022;Drafting;3.0
260;P-2022-008;EMP-8;20/05/2022;Meeting;3.99
261;P-2022-008;EMP-8;26/05/2022;Design;0.63
262;P-2022-008;EMP-4;23/05/2022;Calculation;5.3
263;P-2022-008;EMP-9;24/05/2022;Drafting;3.28
264;P-2022-008;EMP-4;25/05/2022;Drafting;2.43
265;P-2022-008;EMP-10;27/05/2022;Calculation;5.8
266;P-2022-008;EMP-6;26/06/2022;Meeting;4.83
267;P-2022-008;EMP-4;24/06/2022;Drafting;4.85
268;P-2022-008;EMP-1;02/06/2022;Site Visit;2.12
269;P-2022-008;EMP-6;20/05/2022;Design;5.4
270;P-2022-008;EMP-2;12/05/2022;Site Visit;2.75
271;P-2022-008;EMP-4;29/05/2022;Meeting;2.84
272;P-2022-008;EMP-11;29/05/2022;Site Visit;3.18
273;P-2022-008;EMP-8;15/06/2022;Drafting;1.44
274;P-2022-008;EMP-4;20/05/2022;Design;4.28
275;P-2022-009;EMP-10;20/03/2022;Calculation;13.08
276;P-2022-009;EMP-2;17/04/2022;Site Visit;16.18
277;P-2022-009;EMP-2;18/04/2022;Drafting;12.5
278;P-2022-009;EMP-9;29/04/2022;Meeting;15.44
279;P-2022-009;EMP-11;19/04/2022;Site Visit;14.73
280;P-2022-009;EMP-9;09/04/2022;Calculation;15.24
281;P-2022-009;EMP-2;26/03/2022;Meeting;16.5
282;P-2022-009;EMP-10;11/03/2022;Design;14.43
283;P-2022-009;EMP-11;23/03/2022;Meeting;12.92
284;P-2022-009;EMP-11;04/05/2022;Drafting;16.67
285;P-2022-009;EMP-7;23/03/2022;Design;16.51
286;P-2022-009;EMP-2;11/05/2022;Design;16.16
287;P-2022-009;EMP-8;11/05/2022;Site Visit;15.1
288;P-2022-009;EMP-7;05/04/2022;Drafting;13.75
289;P-2022-009;EMP-3;28/04/2022;Calculation;16.35
290;P-2022-009;EMP-4;10/03/2022;Drafting;16.48
291;P-2022-009;EMP-10;14/04/2022;Calculation;13.21
292;P-2022-010;EMP-6;01/11/2022;Site Visit;7.94
293;P-2022-010;EMP-5;29/10/2022;Design;4.35
294;P-2022-010;EMP-1;08/11/2022;Site Visit;4.2
295;P-2022-010;EMP-10;03/11/2022;Design;5.65
296;P-2022-010;EMP-5;08/11/2022;Site Visit;7.87
297;P-2022-010;EMP-3;18/09/2022;Drafting;3.58
298;P-2022-010;EMP-10;14/10/2022;Design;3.75
299;P-2022-010;EMP-10;04/10/2022;Site Visit;6.75
300;P-2022-010;EMP-5;30/10/2022;Calculation;4.68
301;P-2022-010;EMP-9;15/10/2022;Drafting;5.64
302;P-2022-010;EMP-1;18/10/2022;Drafting;7.1
303;P-2022-010;EMP-8;11/09/2022;Calculation;5.76
304;P-2022-010;EMP-5;13/10/2022;Site Visit;3.95
305;P-2022-010;EMP-7;11/10/2022;Meeting;2.59
306;P-2022-010;EMP-3;18/09/2022;Design;3.31
307;P-2022-010;EMP-8;18/09/2022;Site Visit;6.68
308;P-2022-010;EMP-1;02/11/2022;Design;5.9
309;P-2022-010;EMP-11;21/10/2022;Drafting;4.74
310;P-2022-010;EMP-10;25/09/2022;Drafting;6.16
311;P-2022-010;EMP-4;12/10/2022;Site Visit;5.63
312;P-2022-010;EMP-9;18/09/2022;Meeting;7.06
313;P-2022-010;EMP-8;31/10/2022;Meeting;4.11
314;P-2022-010;EMP-11;03/11/2022;Site Visit;5.08
315;P-2022-010;EMP-2;17/10/2022;Design;6.59
316;P-2022-010;EMP-3;27/09/2022;Design;5.83
317;P-2022-010;EMP-7;16/09/2022;Drafting;6.09
318;P-2022-010;EMP-10;14/10/2022;Calculation;4.55
319;P-2022-010;EMP-3;25/10/2022;Site Visit;7.47
320;P-2022-010;EMP-11;04/10/2022;Drafting;4.81
321;P-2022-010;EMP-5;24/09/2022;Calculation;5.07
322;P-2022-010;EMP-9;14/09/2022;Meeting;5.91
323;P-2022-010;EMP-8;25/10/2022;Drafting;6.37
324;P-2022-010;EMP-6;26/09/2022;Site Visit;4.94
325;P-2022-010;EMP-3;23/09/2022;Calculation;8.14
326;P-2022-010;EMP-6;10/10/2022;Drafting;7.09
327;P-2022-010;EMP-9;13/10/2022;Calculation;6.8
328;P-2022-010;EMP-3;09/11/2022;Drafting;5.8
329;P-2022-010;EMP-10;15/09/2022;Drafting;6.2
330;P-2022-010;EMP-10;03/10/2022;Calculation;5.55
331;P-2022-010;EMP-4;04/10/2022;Drafting;6.6
332;P-2022-010;EMP-6;03/11/2022;Drafting;5.63
333;P-2022-010;EMP-3;19/10/2022;Meeting;5.12
334;P-2022-011;EMP-10;03/10/2022;Meeting;2.69
335;P-2022-011;EMP-9;16/10/2022;Drafting;0.49
336;P-2022-011;EMP-8;22/10/2022;Calculation;1.47
337;P-2022-011;EMP-6;14/10/2022;Drafting;1.54
338;P-2022-011;EMP-9;07/10/2022;Meeting;1.36
339;P-2022-011;EMP-7;14/10/2022;Meeting;0.5
340;P-2022-011;EMP-4;05/10/2022;Design;1.94
341;P-2022-011;EMP-1;09/10/2022;Site Visit;1.13
342;P-2022-011;EMP-2;09/10/2022;Site Visit;0.93
343;P-2022-011;EMP-8;16/10/2022;Drafting;1.79
344;P-2022-011;EMP-10;07/10/2022;Site Visit;1.14
345;P-2022-011;EMP-5;10/10/2022;Site Visit;0.82
346;P-2022-011;EMP-2;04/10/2022;Site Visit;0.5
347;P-2022-011;EMP-9;27/10/2022;Site Visit;2.33
348;P-2022-011;EMP-9;10/10/2022;Drafting;0.5
349;P-2022-011;EMP-9;04/10/2022;Site Visit;4.08
350;P-2022-011;EMP-9;19/10/2022;Design;1.09
351;P-2022-011;EMP-5;12/10/2022;Calculation;0.46
352;P-2022-011;EMP-6;15/10/2022;Calculation;1.36
353;P-2022-011;EMP-9;17/10/2022;Drafting;1.03
354;P-2022-011;EMP-9;25/10/2022;Calculation;0.5
355;P-2022-011;EMP-7;16/10/2022;Meeting;4.99
356;P-2022-011;EMP-5;03/10/2022;Calculation;1.19
357;P-2022-011;EMP-2;19/10/2022;Meeting;2.66
358;P-2022-011;EMP-5;21/10/2022;Meeting;0.5
359;P-2022-011;EMP-9;18/10/2022;Site Visit;0.5
360;P-2022-011;EMP-11;04/10/2022;Design;0.45
361;P-2022-011;EMP-3;12/10/2022;Meeting;3.12
362;P-2022-011;EMP-8;17/10/2022;Design;0.5
363;P-2022-011;EMP-11;19/10/2022;Design;0.5
364;P-2022-011;EMP-7;24/10/2022;Calculation;1.16
365;P-2022-011;EMP-10;11/10/2022;Drafting;0.94
366;P-2022-011;EMP-2;17/10/2022;Drafting;2.02
367;P-2022-011;EMP-8;11/10/2022;Meeting;1.03
368;P-2022-011;EMP-3;20/10/2022;Design;3.16
369;P-2022-011;EMP-1;26/10/2022;Site Visit;0.5
370;P-2022-011;EMP-8;13/10/2022;Design;0.73
371;P-2022-011;EMP-4;05/10/2022;Site Visit;2.76
372;P-2022-011;EMP-2;24/10/2022;Drafting;3.5
373;P-2022-012;EMP-2;02/10/2022;Design;42.51
374;P-2022-012;EMP-4;12/06/2022;Calculation;43.44
375;P-2022-012;EMP-3;16/05/2022;Design;41.64
376;P-2022-012;EMP-1;11/05/2022;Calculation;39.56
377;P-2022-012;EMP-1;24/10/2022;Meeting;39.25
378;P-2022-012;EMP-8;28/08/2022;Calculation;41.99
379;P-2022-012;EMP-11;28/07/2022;Drafting;37.62
380;P-2022-012;EMP-2;19/10/2022;Site Visit;40.78
381;P-2022-012;EMP-7;08/06/2022;Drafting;41.9
382;P-2022-012;EMP-6;11/09/2022;Calculation;41.81
383;P-2022-012;EMP-6;28/09/2022;Site Visit;41.06
384;P-2022-012;EMP-10;11/09/2022;Meeting;40.29
385;P-2022-012;EMP-6;11/07/2022;Drafting;38.76
386;P-2022-012;EMP-9;22/08/2022;Calculation;42.39
387;P-2022-012;EMP-6;30/05/2022;Design;42.85
388;P-2022-012;EMP-8;22/09/2022;Drafting;39.51
389;P-2022-012;EMP-4;10/05/2022;Design;42.79
390;P-2022-013;EMP-5;20/04/2023;Site Visit;12.69
391;P-2022-013;EMP-4;18/12/2022;Design;12.45
392;P-2022-013;EMP-7;10/04/2023;Site Visit;12.95
393;P-2022-013;EMP-10;02/12/2022;Calculation;16.11
394;P-2022-013;EMP-3;30/01/2023;Site Visit;11.83
395;P-2022-013;EMP-11;09/01/2023;Site Visit;15.29
396;P-2022-013;EMP-2;15/11/2022;Drafting;9.99
397;P-2022-013;EMP-7;13/04/2023;Calculation;12.78
398;P-2022-013;EMP-3;28/12/2022;Site Visit;12.69
399;P-2022-013;EMP-11;16/01/2023;Design;12.02
400;P-2022-013;EMP-9;01/05/2023;Meeting;14.54
401;P-2022-013;EMP-11;15/11/2022;Meeting;13.86
402;P-2022-013;EMP-9;13/12/2022;Calculation;13.05
403;P-2022-013;EMP-6;20/02/2023;Site Visit;13.63
404;P-2022-013;EMP-4;17/02/2023;Calculation;14.1
405;P-2022-013;EMP-6;12/12/2022;Meeting;11.55
406;P-2022-013;EMP-10;23/12/2022;Site Visit;10.34
407;P-2022-013;EMP-9;08/11/2022;Calculation;11.05
408;P-2022-013;EMP-2;17/02/2023;Meeting;14.88
409;P-2022-013;EMP-6;28/12/2022;Calculation;13.08
410;P-2022-013;EMP-6;18/11/2022;Design;9.35
411;P-2022-013;EMP-8;21/04/2023;Calculation;12.68
412;P-2022-013;EMP-7;24/12/2022;Design;13.18
413;P-2022-013;EMP-11;27/11/2022;Meeting;13.68
414;P-2022-013;EMP-5;18/03/2023;Site Visit;13.46
415;P-2022-013;EMP-5;23/01/2023;Calculation;12.84
416;P-2022-013;EMP-10;11/12/2022;Drafting;12.44
417;P-2022-013;EMP-7;21/02/2023;Site Visit;11.62
418;P-2022-013;EMP-5;29/12/2022;Site Visit;11.79
419;P-2022-013;EMP-7;23/04/2023;Drafting;12.44
420;P-2022-013;EMP-9;02/05/2023;Site Visit;12.1
421;P-2022-013;EMP-4;08/03/2023;Design;11.52
422;P-2022-013;EMP-11;12/04/2023;Drafting;11.51
423;P-2022-013;EMP-6;28/12/2022;Calculation;13.78
424;P-2022-013;EMP-2;27/03/2023;Drafting;10.18
425;P-2022-013;EMP-7;06/04/2023;Design;15.53
426;P-2022-013;EMP-2;26/01/2023;Design;11.5
427;P-2022-013;EMP-1;09/12/2022;Drafting;13.69
428;P-2022-013;EMP-3;07/04/2023;Calculation;11.6
429;P-2022-013;EMP-3;30/01/2023;Drafting;14.34
430;P-2022-013;EMP-3;09/04/2023;Design;11.07
431;P-2022-013;EMP-11;13/03/2023;Drafting;14.76
432;P-2022-013;EMP-11;14/02/2023;Drafting;10.08
433;P-2022-013;EMP-9;02/12/2022;Site Visit;13.1
434;P-2022-013;EMP-4;07/04/2023;Site Visit;12.79
435;P-2022-013;EMP-10;22/12/2022;Meeting;13.49
436;P-2022-013;EMP-1;03/03/2023;Site Visit;9.73
437;P-2022-013;EMP-8;17/03/2023;Design;13.33
438;P-2022-013;EMP-4;30/01/2023;Drafting;8.94
439;P-2022-013;EMP-5;28/01/2023;Calculation;12.33
440;P-2022-013;EMP-1;30/01/2023;Meeting;12.02
441;P-2022-013;EMP-4;17/12/2022;Site Visit;13.61
442;P-2022-013;EMP-10;02/02/2023;Drafting;11.39
443;P-2022-013;EMP-7;05/04/2023;Calculation;15.34
444;P-2022-013;EMP-7;07/02/2023;Drafting;11.1
445;P-2022-013;EMP-8;15/01/2023;Site Visit;12.4
446;P-2022-013;EMP-8;11/01/2023;Meeting;14.09
447;P-2022-013;EMP-7;02/03/2023;Calculation;14.03
448;P-2022-014;EMP-4;17/11/2022;Site Visit;5.9
449;P-2022-014;EMP-11;21/11/2022;Meeting;8.36
450;P-2022-014;EMP-10;27/11/2022;Meeting;1.31
451;P-2022-014;EMP-5;18/11/2022;Calculation;3.45
452;P-2022-014;EMP-7;22/11/2022;Design;4.22
