log_id;project_id;employee_id;date_logged;task_category;hours_worked;project_type;material_type;surface_area_m2;num_levels;start_date;end_date;is_winter;floor_area_ratio
40;P-2022-001;EMP-3;03/09/2022;Calculation;22.91;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
41;P-2022-001;EMP-1;14/01/2023;Site Visit;22.4;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
42;P-2022-001;EMP-3;07/07/2022;Design;25.96;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
43;P-2022-001;EMP-6;05/03/2023;Design;24.26;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
44;P-2022-001;EMP-6;04/10/2022;Drafting;22.19;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
45;P-2022-001;EMP-3;08/11/2022;Calculation;24.32;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
46;P-2022-001;EMP-8;30/12/2022;Meeting;23.61;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
47;P-2022-001;EMP-11;09/07/2022;Design;22.62;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
48;P-2022-001;EMP-1;13/01/2023;Meeting;23.23;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
49;P-2022-001;EMP-9;21/10/2022;Site Visit;20.52;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
50;P-2022-001;EMP-3;18/11/2022;Calculation;24.59;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
51;P-2022-001;EMP-9;14/01/2023;Meeting;21.25;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
52;P-2022-001;EMP-5;14/12/2022;Meeting;23.83;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
53;P-2022-002;EMP-8;27/04/2022;Meeting;0.5;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
54;P-2022-002;EMP-11;29/04/2022;Drafting;3.25;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
55;P-2022-002;EMP-6;28/04/2022;Site Visit;3.56;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
56;P-2022-002;EMP-5;10/04/2022;Drafting;3.66;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
57;P-2022-002;EMP-10;28/04/2022;Calculation;3.15;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
58;P-2022-002;EMP-4;12/04/2022;Design;3.39;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
59;P-2022-002;EMP-7;01/05/2022;Site Visit;0.5;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
60;P-2022-002;EMP-2;29/04/2022;Calculation;1.27;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
61;P-2022-002;EMP-6;21/04/2022;Design;5.09;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
62;P-2022-002;EMP-5;09/04/2022;Drafting;0.5;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
63;P-2022-002;EMP-9;12/04/2022;Site Visit;3.98;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
64;P-2022-002;EMP-10;30/04/2022;Design;0.5;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
65;P-2022-002;EMP-4;01/05/2022;Design;4.69;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
66;P-2022-002;EMP-2;27/04/2022;Meeting;4.08;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
67;P-2022-002;EMP-5;19/04/2022;Site Visit;2.71;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
68;P-2022-002;EMP-11;18/04/2022;Site Visit;1.32;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
69;P-2022-002;EMP-4;10/04/2022;Meeting;3.2;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
70;P-2022-002;EMP-5;24/04/2022;Calculation;2.58;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
71;P-2022-002;EMP-8;20/04/2022;Site Visit;2.97;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
72;P-2022-002;EMP-10;23/04/2022;Calculation;0.94;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
73;P-2022-002;EMP-6;25/04/2022;Drafting;3.46;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
74;P-2022-002;EMP-11;19/04/2022;Site Visit;2.83;Residential;Steel;300;1;09/04/2022;04/05/2022;0;300
75;P-2022-003;EMP-9;23/10/2022;Meeting;3.37;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
76;P-2022-003;EMP-7;18/11/2022;Calculation;7.46;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
77;P-2022-003;EMP-9;28/10/2022;Drafting;4.83;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
78;P-2022-003;EMP-2;16/12/2022;Calculation;5.89;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
79;P-2022-003;EMP-10;16/12/2022;Design;5.12;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
80;P-2022-003;EMP-10;20/11/2022;Calculation;5.55;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
81;P-2022-003;EMP-11;17/12/2022;Site Visit;5.83;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
82;P-2022-003;EMP-1;28/10/2022;Design;5.49;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
83;P-2022-003;EMP-1;14/11/2022;Drafting;7.03;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
84;P-2022-003;EMP-2;15/12/2022;Design;4.93;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
85;P-2022-003;EMP-5;26/10/2022;Drafting;5.08;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
86;P-2022-003;EMP-6;30/11/2022;Meeting;5.51;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
87;P-2022-003;EMP-11;01/12/2022;Design;6.15;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
88;P-2022-003;EMP-7;14/11/2022;Design;3.29;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
89;P-2022-003;EMP-7;31/10/2022;Meeting;4.54;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
90;P-2022-003;EMP-8;30/10/2022;Site Visit;5.24;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
91;P-2022-003;EMP-1;17/11/2022;Meeting;5.23;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
92;P-2022-003;EMP-6;15/11/2022;Meeting;4.3;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
93;P-2022-003;EMP-10;30/10/2022;Site Visit;3.73;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
94;P-2022-003;EMP-7;25/10/2022;Meeting;4.31;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
95;P-2022-003;EMP-4;10/12/2022;Meeting;5.43;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
96;P-2022-003;EMP-2;01/11/2022;Drafting;4.3;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
97;P-2022-003;EMP-1;07/11/2022;Design;4.46;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
98;P-2022-003;EMP-7;13/12/2022;Drafting;6.02;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
99;P-2022-003;EMP-1;09/11/2022;Calculation;4.21;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
100;P-2022-003;EMP-7;17/12/2022;Design;5.59;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
101;P-2022-003;EMP-7;19/11/2022;Drafting;7.61;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
102;P-2022-003;EMP-6;23/11/2022;Site Visit;7.18;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
103;P-2022-003;EMP-8;12/11/2022;Calculation;2.99;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
104;P-2022-003;EMP-11;11/12/2022;Design;4.99;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
105;P-2022-003;EMP-10;14/12/2022;Site Visit;5.75;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
106;P-2022-003;EMP-6;06/12/2022;Drafting;6;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
107;P-2022-003;EMP-7;28/10/2022;Drafting;5.78;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
108;P-2022-003;EMP-7;26/10/2022;Site Visit;4.84;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
109;P-2022-003;EMP-2;19/12/2022;Site Visit;4.13;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
110;P-2022-003;EMP-8;17/12/2022;Design;3.43;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
111;P-2022-003;EMP-6;03/12/2022;Design;3.75;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
112;P-2022-003;EMP-7;22/11/2022;Site Visit;6.86;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
113;P-2022-003;EMP-8;29/11/2022;Calculation;9.03;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
114;P-2022-003;EMP-4;20/10/2022;Meeting;1.48;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
115;P-2022-003;EMP-8;27/10/2022;Design;4.64;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
116;P-2022-003;EMP-9;01/12/2022;Drafting;3.61;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
117;P-2022-003;EMP-2;01/11/2022;Meeting;4.48;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
118;P-2022-003;EMP-3;17/12/2022;Design;4.31;Commercial;Steel;754;5;20/10/2022;24/12/2022;1;150.8
119;P-2022-003;EMP-10;29/10/2022;Meeting;4.99;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
120;P-2022-003;EMP-2;25/11/2022;Site Visit;4.79;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
121;P-2022-003;EMP-4;28/10/2022;Meeting;5.97;Commercial;Steel;754;5;20/10/2022;24/12/2022;0;150.8
122;P-2022-004;EMP-1;24/10/2022;Drafting;0.74;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
123;P-2022-004;EMP-10;30/10/2022;Meeting;3.96;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
124;P-2022-004;EMP-10;24/10/2022;Meeting;3.06;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
125;P-2022-004;EMP-4;27/11/2022;Site Visit;2.25;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
126;P-2022-004;EMP-8;11/11/2022;Meeting;1.71;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
127;P-2022-004;EMP-3;22/10/2022;Site Visit;3.18;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
128;P-2022-004;EMP-5;24/11/2022;Calculation;1.09;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
129;P-2022-004;EMP-2;06/11/2022;Drafting;3.53;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
130;P-2022-004;EMP-8;09/11/2022;Design;1.39;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
131;P-2022-004;EMP-3;10/11/2022;Design;0.79;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
132;P-2022-004;EMP-1;04/11/2022;Meeting;0.5;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
133;P-2022-004;EMP-3;01/11/2022;Design;2.11;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
134;P-2022-004;EMP-11;29/10/2022;Calculation;1.64;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
135;P-2022-004;EMP-2;04/11/2022;Calculation;1.11;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
136;P-2022-004;EMP-8;03/11/2022;Design;0.66;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
137;P-2022-004;EMP-6;18/11/2022;Calculation;0.5;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
138;P-2022-004;EMP-4;03/11/2022;Design;5.35;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
139;P-2022-004;EMP-5;29/11/2022;Design;2.71;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
140;P-2022-004;EMP-8;24/11/2022;Calculation;3.57;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
141;P-2022-004;EMP-7;16/11/2022;Calculation;2.25;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
142;P-2022-004;EMP-8;25/10/2022;Meeting;3.25;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
143;P-2022-004;EMP-6;28/11/2022;Calculation;2.16;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
144;P-2022-004;EMP-11;06/11/2022;Meeting;3.31;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
145;P-2022-004;EMP-3;04/11/2022;Design;5;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
146;P-2022-004;EMP-9;27/10/2022;Calculation;4.98;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
147;P-2022-004;EMP-9;16/11/2022;Calculation;8.09;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
148;P-2022-004;EMP-8;26/11/2022;Design;2.93;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
149;P-2022-004;EMP-1;30/11/2022;Drafting;3.16;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
150;P-2022-004;EMP-3;25/11/2022;Design;2.96;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
151;P-2022-004;EMP-7;20/11/2022;Site Visit;4.31;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
152;P-2022-004;EMP-7;22/10/2022;Meeting;1.24;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
153;P-2022-004;EMP-11;08/11/2022;Calculation;0.98;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
154;P-2022-004;EMP-10;07/11/2022;Calculation;4.38;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
155;P-2022-004;EMP-1;21/10/2022;Meeting;3.19;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
156;P-2022-004;EMP-5;14/11/2022;Drafting;4.1;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
157;P-2022-004;EMP-3;12/11/2022;Meeting;3.19;Residential;Mixed;498;3;21/10/2022;01/12/2022;0;166
158;P-2022-005;EMP-4;20/05/2022;Site Visit;54.47;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
159;P-2022-005;EMP-11;02/09/2022;Site Visit;55.34;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
160;P-2022-005;EMP-7;06/06/2022;Site Visit;56.01;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
161;P-2022-005;EMP-3;07/08/2022;Drafting;59.86;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
162;P-2022-005;EMP-6;23/07/2022;Calculation;56.65;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
163;P-2022-005;EMP-5;03/07/2022;Meeting;53.87;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
164;P-2022-005;EMP-11;08/06/2022;Drafting;56.19;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
165;P-2022-005;EMP-8;06/09/2022;Design;53.09;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
166;P-2022-005;EMP-1;30/07/2022;Site Visit;55.92;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
167;P-2022-005;EMP-7;27/08/2022;Design;55.24;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
168;P-2022-005;EMP-10;02/09/2022;Drafting;54.67;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
169;P-2022-005;EMP-4;09/06/2022;Design;53.44;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
170;P-2022-005;EMP-6;20/09/2022;Calculation;54.64;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
171;P-2022-005;EMP-6;01/10/2022;Design;56.79;Industrial;Mixed;2609;9;12/05/2022;19/11/2022;0;2.898.888.889
172;P-2022-006;EMP-2;30/08/2022;Meeting;3.31;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
173;P-2022-006;EMP-11;23/08/2022;Calculation;0.5;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
174;P-2022-006;EMP-2;27/08/2022;Site Visit;6.17;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
175;P-2022-006;EMP-7;23/08/2022;Design;3.39;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
176;P-2022-006;EMP-5;24/08/2022;Calculation;0.5;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
177;P-2022-006;EMP-11;28/08/2022;Meeting;3.69;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
178;P-2022-006;EMP-2;26/08/2022;Drafting;4.69;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
179;P-2022-006;EMP-3;20/08/2022;Design;3.9;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
180;P-2022-006;EMP-8;22/08/2022;Design;1.32;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
181;P-2022-006;EMP-7;15/08/2022;Drafting;2.81;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
182;P-2022-006;EMP-9;21/08/2022;Drafting;2.08;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
183;P-2022-006;EMP-10;23/08/2022;Drafting;3.79;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
184;P-2022-006;EMP-3;22/08/2022;Site Visit;1.53;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
185;P-2022-006;EMP-7;15/08/2022;Calculation;2.87;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
186;P-2022-006;EMP-10;31/08/2022;Drafting;4.84;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
187;P-2022-006;EMP-8;14/08/2022;Meeting;6.88;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
188;P-2022-006;EMP-10;24/08/2022;Drafting;1.02;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
189;P-2022-006;EMP-6;30/08/2022;Drafting;2.45;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
190;P-2022-006;EMP-3;29/08/2022;Design;1.77;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
191;P-2022-006;EMP-9;31/08/2022;Calculation;3.52;Residential;Concrete;202;2;12/08/2022;03/09/2022;0;101
192;P-2022-007;EMP-5;25/05/2022;Design;33.97;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
193;P-2022-007;EMP-10;08/01/2023;Site Visit;34.38;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;1;5.534.444.444
194;P-2022-007;EMP-1;06/10/2022;Calculation;34.16;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
195;P-2022-007;EMP-9;17/11/2022;Meeting;35.06;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
196;P-2022-007;EMP-10;18/10/2022;Drafting;32.97;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
197;P-2022-007;EMP-11;16/01/2023;Meeting;34.46;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;1;5.534.444.444
198;P-2022-007;EMP-8;24/10/2022;Calculation;34.66;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
199;P-2022-007;EMP-6;30/07/2022;Calculation;33.06;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
200;P-2022-007;EMP-4;08/07/2022;Drafting;34.04;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
201;P-2022-007;EMP-5;30/11/2022;Drafting;34.13;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
202;P-2022-007;EMP-2;16/12/2022;Calculation;36.02;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;1;5.534.444.444
203;P-2022-007;EMP-1;02/09/2022;Design;33.03;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
204;P-2022-007;EMP-1;11/01/2023;Calculation;36.59;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;1;5.534.444.444
205;P-2022-007;EMP-2;16/06/2022;Calculation;32.71;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
206;P-2022-007;EMP-5;04/07/2022;Drafting;36.03;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
207;P-2022-007;EMP-1;16/11/2022;Drafting;34.56;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
208;P-2022-007;EMP-6;13/08/2022;Meeting;33.5;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
209;P-2022-007;EMP-5;12/02/2023;Site Visit;31.89;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;1;5.534.444.444
210;P-2022-007;EMP-11;02/09/2022;Design;34.91;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
211;P-2022-007;EMP-10;16/10/2022;Meeting;32.02;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
212;P-2022-007;EMP-4;03/07/2022;Drafting;34.62;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
213;P-2022-007;EMP-1;22/07/2022;Design;33.7;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
214;P-2022-007;EMP-7;19/06/2022;Meeting;36.24;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;0;5.534.444.444
215;P-2022-007;EMP-5;12/02/2023;Drafting;34.7;Institutional;Mixed;4981;9;24/05/2022;21/02/2023;1;5.534.444.444
